STATION,NAME,DATE,TMAX,TMIN
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/20/14,70,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/21/14,73,26
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/22/14,75,28
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/23/14,75,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/24/14,73,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/25/14,76,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/26/14,73,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/27/14,61,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/28/14,66,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/29/14,63,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/30/14,66,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/31/14,65,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/1/14,61,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/2/14,45,34
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/3/14,57,30
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/4/14,55,30
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/5/14,52,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/6/14,51,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/7/14,54,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/8/14,57,53
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/9/14,58,54
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/10/14,62,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/11/14,63,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/12/14,59,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/13/14,67,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/14/14,65,53
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/15/14,57,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/16/14,65,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/17/14,65,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/18/14,64,40
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/19/14,66,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/20/14,71,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/21/14,72,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/22/14,70,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/23/14,70,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/24/14,74,36
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/25/14,62,39
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/26/14,56,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/27/14,62,53
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",2/28/14,59,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/1/14,68,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/2/14,59,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/3/14,58,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/4/14,64,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/5/14,64,55
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/6/14,63,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/7/14,70,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/8/14,72,39
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/9/14,71,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/10/14,69,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/11/14,74,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/12/14,76,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/13/14,78,40
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/14/14,76,40
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/15/14,80,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/16/14,76,39
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/17/14,71,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/18/14,73,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/19/14,75,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/20/14,75,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/21/14,68,42
