STATION,NAME,DATE,TMAX,TMIN
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/3/10,76,50
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/4/10,77,52
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/5/10,83,53
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/6/10,73,47
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/7/10,83,54
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/8/10,54,42
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/9/10,60,35
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/10/10,64,38
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/11/10,78,51
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/12/10,74,57
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/13/10,80,65
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/14/10,73,52
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/15/10,68,50
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/16/10,64,57
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/17/10,59,53
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/18/10,59,54
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/19/10,64,49
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/20/10,65,47
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/21/10,71,58
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/22/10,77,56
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/23/10,89,57
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/24/10,88,65
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/25/10,85,61
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/26/10,87,62
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/27/10,89,64
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/28/10,84,58
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/29/10,87,63
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/30/10,88,63
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/31/10,83,65
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/1/10,84,61
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/2/10,84,65
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/3/10,82,66
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/4/10,86,66
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/5/10,86,73
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/6/10,78,62
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/7/10,78,55
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/8/10,80,61
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/9/10,82,62
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/10/10,86,58
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/11/10,88,68
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/12/10,89,70
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/13/10,87,68
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/14/10,89,68
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/15/10,88,66
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/16/10,82,64
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/17/10,85,60
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/18/10,91,64
