,DateTime,Adopt,Euth,RTO,Unintended,Other,TotalOutcomes
495,2015-02-08,23,3,3,0,5,34
496,2015-02-09,10,1,12,0,10,33
497,2015-02-10,12,1,10,0,5,28
498,2015-02-11,9,2,3,0,5,19
499,2015-02-12,21,2,9,0,7,39
500,2015-02-13,8,3,9,0,7,27
501,2015-02-14,23,1,4,0,2,30
502,2015-02-15,18,2,7,0,5,32
503,2015-02-16,14,1,12,0,2,29
504,2015-02-17,14,1,6,0,0,21
505,2015-02-18,9,2,9,0,7,27
506,2015-02-19,8,3,17,0,4,32
507,2015-02-20,11,2,10,0,11,34
508,2015-02-21,22,1,4,0,5,32
509,2015-02-22,15,2,11,0,6,34
510,2015-02-23,15,1,3,0,10,29
511,2015-02-24,7,3,6,0,6,22
512,2015-02-25,11,0,14,1,2,28
513,2015-02-26,5,3,9,0,7,24
514,2015-02-27,16,1,6,0,2,25
515,2015-02-28,12,1,9,1,3,26
516,2015-03-01,20,2,6,0,5,33
517,2015-03-02,13,0,7,0,6,26
518,2015-03-03,11,0,7,0,1,19
519,2015-03-04,9,1,4,0,1,15
520,2015-03-05,3,0,7,0,2,12
521,2015-03-06,4,3,8,0,10,25
522,2015-03-07,15,2,4,0,5,26
523,2015-03-08,16,0,2,0,7,25
524,2015-03-09,13,0,6,0,2,21
525,2015-03-10,13,1,7,0,4,25
526,2015-03-11,7,2,10,0,0,19
527,2015-03-12,6,1,7,0,3,17
528,2015-03-13,12,5,9,0,5,31
529,2015-03-14,30,3,7,0,9,49
530,2015-03-15,23,3,5,0,3,34
531,2015-03-16,12,1,7,0,5,25
532,2015-03-17,9,2,10,0,1,22
533,2015-03-18,8,0,6,0,1,15
534,2015-03-19,5,3,5,0,3,16
535,2015-03-20,12,0,9,0,4,25
536,2015-03-21,15,1,10,0,0,26
537,2015-03-22,15,0,5,0,9,29
538,2015-03-23,11,2,14,1,4,32
539,2015-03-24,11,0,25,0,4,40
540,2015-03-25,10,0,9,1,14,34
541,2015-03-26,7,2,11,0,6,26
542,2015-03-27,10,3,15,0,1,29
543,2015-03-28,14,1,7,0,2,24
544,2015-03-29,16,3,7,0,2,28
545,2015-03-30,15,2,6,0,10,33
546,2015-03-31,5,0,12,2,0,19
547,2015-04-01,8,2,13,0,4,27
548,2015-04-02,10,1,7,0,31,49
549,2015-04-03,11,1,0,1,11,24
550,2015-04-04,21,0,4,0,11,36
551,2015-04-05,20,1,5,0,7,33
552,2015-04-06,15,0,13,0,1,29
553,2015-04-07,13,0,11,0,1,25
554,2015-04-08,8,0,8,0,11,27
555,2015-04-09,9,0,11,0,4,24
556,2015-04-10,6,4,8,0,14,32
557,2015-04-11,13,0,7,0,4,24
558,2015-04-12,9,1,15,0,8,33
559,2015-04-13,10,3,12,0,9,34
560,2015-04-14,7,2,9,0,1,19
561,2015-04-15,5,1,6,0,5,17
562,2015-04-16,4,0,6,0,6,16
563,2015-04-17,9,1,9,0,2,21
564,2015-04-18,13,1,6,0,4,24
565,2015-04-19,19,4,5,0,9,37
566,2015-04-20,4,3,11,0,7,25
567,2015-04-21,12,4,19,0,5,40
568,2015-04-22,11,2,10,0,2,25
569,2015-04-23,6,5,8,0,3,22
570,2015-04-24,4,2,16,0,7,29
571,2015-04-25,24,0,6,0,6,36
572,2015-04-26,13,1,15,0,1,30
573,2015-04-27,9,1,10,0,5,25
574,2015-04-28,11,0,10,0,9,30
575,2015-04-29,12,3,8,0,7,30
576,2015-04-30,12,1,2,0,4,19
577,2015-05-01,6,5,10,0,8,29
578,2015-05-02,34,0,13,0,1,48
579,2015-05-03,35,0,9,1,8,53
580,2015-05-04,11,6,9,0,4,30
581,2015-05-05,22,1,10,0,5,38
582,2015-05-06,7,1,20,0,1,29
583,2015-05-07,7,5,8,0,5,25
584,2015-05-08,17,1,8,0,0,26
585,2015-05-09,18,0,10,0,4,32
586,2015-05-10,24,0,10,0,8,42
587,2015-05-11,8,1,9,0,3,21
588,2015-05-12,6,2,13,0,13,34
589,2015-05-13,5,0,6,0,4,15
590,2015-05-14,8,4,14,0,3,29
591,2015-05-15,6,4,10,2,9,31
592,2015-05-16,13,0,14,0,4,31
593,2015-05-17,12,3,17,0,5,37
594,2015-05-18,12,0,8,0,8,28
595,2015-05-19,10,2,7,0,7,26
596,2015-05-20,9,3,19,0,11,42
597,2015-05-21,15,2,12,0,5,34
598,2015-05-22,12,3,9,0,3,27
599,2015-05-23,23,0,10,0,8,41
600,2015-05-24,20,2,6,0,3,31
601,2015-05-25,28,5,14,0,5,52
602,2015-05-26,12,2,14,0,19,47
603,2015-05-27,13,1,11,0,27,52
604,2015-05-28,11,4,13,0,13,41
605,2015-05-29,11,0,20,0,14,45
606,2015-05-30,18,2,10,0,2,32
607,2015-05-31,16,1,8,0,11,36
608,2015-06-01,17,1,12,0,2,32
609,2015-06-02,5,3,5,0,3,16
610,2015-06-03,8,2,19,0,3,32
611,2015-06-04,10,1,10,1,8,30
612,2015-06-05,7,2,11,0,20,40
613,2015-06-06,13,0,6,0,3,22
614,2015-06-07,32,0,8,1,5,46
615,2015-06-08,10,0,4,0,5,19
616,2015-06-09,13,2,10,0,1,26
617,2015-06-10,8,2,5,0,4,19
618,2015-06-11,15,2,3,0,9,29
619,2015-06-12,11,3,7,0,6,27
620,2015-06-13,13,0,11,0,11,35
621,2015-06-14,13,0,7,0,0,20
622,2015-06-15,16,1,8,1,3,29
623,2015-06-16,8,1,10,0,2,21
624,2015-06-17,8,3,6,0,2,19
625,2015-06-18,8,0,14,0,9,31
626,2015-06-19,10,0,10,0,27,47
627,2015-06-20,17,1,11,0,13,42
628,2015-06-21,17,2,10,1,11,41
629,2015-06-22,9,1,7,0,1,18
630,2015-06-23,16,1,17,0,5,39
631,2015-06-24,12,2,8,0,16,38
632,2015-06-25,16,4,7,0,4,31
633,2015-06-26,14,2,3,1,7,27
634,2015-06-27,14,1,5,0,3,23
635,2015-06-28,24,2,9,1,2,38
636,2015-06-29,15,3,14,0,19,51
637,2015-06-30,11,2,5,1,14,33
638,2015-07-01,13,1,7,0,12,33
639,2015-07-02,13,0,9,0,17,39
640,2015-07-03,15,3,5,0,6,29
641,2015-07-04,7,2,5,1,0,15
642,2015-07-05,23,2,12,1,2,40
643,2015-07-06,14,3,12,0,9,38
644,2015-07-07,10,1,11,0,2,24
645,2015-07-08,16,0,6,0,9,31
646,2015-07-09,14,4,6,0,5,29
647,2015-07-10,10,2,8,0,8,28
648,2015-07-11,12,0,7,0,5,24
649,2015-07-12,12,1,9,0,1,23
650,2015-07-13,11,2,8,0,9,30
651,2015-07-14,8,2,6,0,7,23
652,2015-07-15,10,3,10,0,8,31
653,2015-07-16,8,2,8,1,4,23
654,2015-07-17,13,1,8,0,3,25
655,2015-07-18,10,0,8,1,5,24
656,2015-07-19,14,0,9,0,11,34
657,2015-07-20,11,0,8,0,6,25
658,2015-07-21,12,2,10,1,7,32
