Date,ADM,CL,GIS,SJM,WOOF
2015-06-18,51.369998931884766,67.16999816894531,55.849998474121094,113.31999969482422,
2015-06-19,51.5,66.9000015258789,56.130001068115234,113.4800033569336,
2015-06-22,51.9900016784668,67.23999786376953,56.56999969482422,113.68000030517578,
2015-06-23,52.0,67.01000213623047,56.560001373291016,112.80999755859375,
2015-06-24,51.45000076293945,66.48999786376953,56.54999923706055,111.69999694824219,
2015-06-25,50.70000076293945,66.45999908447266,56.4900016784668,110.93000030517578,
2015-06-26,49.56999969482422,66.5,56.93000030517578,110.62000274658203,
2015-06-29,48.45000076293945,65.4000015258789,56.060001373291016,108.37999725341797,
2015-06-30,48.220001220703125,65.41000366210938,55.720001220703125,108.41000366210938,
2015-07-01,48.63999938964844,66.16000366210938,57.09000015258789,109.20999908447266,
2015-07-02,48.650001525878906,66.16000366210938,57.04999923706055,108.75,
2015-07-06,48.09000015258789,65.95999908447266,56.59000015258789,108.02999877929688,
2015-07-07,48.13999938964844,67.30999755859375,57.88999938964844,109.80999755859375,
2015-07-08,47.5099983215332,66.44999694824219,56.95000076293945,108.45999908447266,
2015-07-09,47.09000015258789,66.16999816894531,56.93000030517578,108.30000305175781,
2015-07-10,47.209999084472656,66.63999938964844,57.27000045776367,107.58999633789062,
2015-07-13,47.5,67.44000244140625,57.52000045776367,108.69999694824219,
2015-07-14,47.790000915527344,67.2699966430664,57.25,108.54000091552734,
2015-07-15,47.459999084472656,66.91000366210938,56.810001373291016,108.11000061035156,
2015-07-16,47.849998474121094,67.62000274658203,57.029998779296875,108.61000061035156,
2015-07-17,48.02000045776367,67.5,56.939998626708984,108.45999908447266,
2015-07-20,48.040000915527344,67.80000305175781,56.83000183105469,108.06999969482422,
2015-07-21,47.4900016784668,66.94000244140625,57.209999084472656,107.37999725341797,
2015-07-22,47.68000030517578,67.0,57.630001068115234,107.43000030517578,
2015-07-23,48.02000045776367,67.04000091552734,57.08000183105469,106.93000030517578,
2015-07-24,47.189998626708984,67.0,56.91999816894531,105.58999633789062,
2015-07-27,47.2599983215332,67.30000305175781,56.959999084472656,105.9800033569336,
2015-07-28,48.349998474121094,68.38999938964844,57.54999923706055,108.70999908447266,
2015-07-29,48.130001068115234,68.93000030517578,57.4900016784668,109.7699966430664,
2015-07-30,47.81999969482422,68.0199966430664,58.2599983215332,110.76000213623047,
2015-07-31,47.41999816894531,68.0199966430664,58.209999084472656,111.69000244140625,
2015-08-03,47.70000076293945,68.41999816894531,58.93000030517578,111.9000015258789,
2015-08-04,48.40999984741211,68.44999694824219,58.9900016784668,112.0999984741211,
2015-08-05,48.220001220703125,69.08000183105469,59.400001525878906,113.48999786376953,
2015-08-06,47.95000076293945,68.6500015258789,59.54999923706055,111.76000213623047,
2015-08-07,46.41999816894531,68.48999786376953,59.11000061035156,110.04000091552734,
2015-08-10,46.529998779296875,68.73999786376953,59.400001525878906,110.51000213623047,
2015-08-11,46.06999969482422,68.26000213623047,59.13999938964844,108.9000015258789,
2015-08-12,46.88999938964844,68.0,59.099998474121094,109.3499984741211,
2015-08-13,47.5099983215332,67.66000366210938,58.88999938964844,108.62999725341797,
2015-08-14,47.20000076293945,67.79000091552734,59.2599983215332,109.37999725341797,
2015-08-17,47.5099983215332,67.66000366210938,59.290000915527344,109.01000213623047,
2015-08-18,47.68000030517578,67.69000244140625,58.939998626708984,108.97000122070312,
2015-08-19,46.720001220703125,66.73999786376953,58.529998779296875,111.87999725341797,
2015-08-20,46.20000076293945,65.98999786376953,57.81999969482422,111.76000213623047,
2015-08-21,45.119998931884766,64.9800033569336,56.209999084472656,109.9000015258789,
2015-08-24,43.54999923706055,61.95000076293945,54.52000045776367,108.12000274658203,
2015-08-25,43.0099983215332,60.369998931884766,54.810001373291016,106.8499984741211,
2015-08-26,43.9900016784668,62.22999954223633,55.88999938964844,109.1500015258789,
2015-08-27,44.83000183105469,63.09000015258789,56.959999084472656,116.29000091552734,
2015-08-28,44.650001525878906,63.349998474121094,57.130001068115234,117.58999633789062,
2015-08-31,44.9900016784668,62.810001373291016,56.7599983215332,117.72000122070312,
2015-09-01,43.34000015258789,61.27000045776367,55.529998779296875,114.0199966430664,
2015-09-02,43.619998931884766,62.18000030517578,56.81999969482422,115.63999938964844,
2015-09-03,43.75,62.91999816894531,57.61000061035156,116.87999725341797,
2015-09-04,42.900001525878906,61.459999084472656,56.59000015258789,115.61000061035156,
2015-09-08,43.70000076293945,63.43000030517578,57.15999984741211,116.3499984741211,
2015-09-09,42.9900016784668,62.38999938964844,55.790000915527344,114.5999984741211,
2015-09-10,43.060001373291016,61.93000030517578,55.88999938964844,114.56999969482422,
2015-09-11,42.81999969482422,61.91999816894531,56.470001220703125,116.11000061035156,
2015-09-14,42.93000030517578,62.11000061035156,56.09000015258789,115.62999725341797,
2015-09-15,43.470001220703125,62.43000030517578,56.7400016784668,116.22000122070312,
2015-09-16,44.189998626708984,63.06999969482422,57.119998931884766,117.52999877929688,
2015-09-17,44.25,63.27000045776367,57.47999954223633,116.77999877929688,
2015-09-18,43.22999954223633,62.689998626708984,56.56999969482422,116.56999969482422,
2015-09-21,43.380001068115234,63.099998474121094,56.790000915527344,117.05000305175781,
2015-09-22,42.45000076293945,62.15999984741211,57.130001068115234,113.22000122070312,
2015-09-23,42.060001373291016,62.099998474121094,57.40999984741211,113.55000305175781,
2015-09-24,42.02000045776367,62.25,56.95000076293945,113.43000030517578,
2015-09-25,42.5,63.13999938964844,57.43000030517578,114.36000061035156,
2015-09-28,41.09000015258789,62.15999984741211,55.40999984741211,113.01000213623047,
2015-09-29,41.02000045776367,63.06999969482422,55.560001373291016,112.54000091552734,
2015-09-30,41.45000076293945,63.459999084472656,56.130001068115234,114.08999633789062,
2015-10-01,41.459999084472656,63.720001220703125,55.9900016784668,113.61000061035156,
2015-10-02,42.41999816894531,64.27999877929688,56.619998931884766,115.6500015258789,
2015-10-05,43.63999938964844,65.3499984741211,57.220001220703125,116.7300033569336,
2015-10-06,43.63999938964844,64.79000091552734,55.70000076293945,114.81999969482422,
2015-10-07,44.310001373291016,65.3499984741211,55.720001220703125,115.98999786376953,
